address,city,type,price,bedrooms,bathrooms,sqft,days_on_zillow,url,zip
560 Island Pl,Redwood City,House For Rent,6800,3.0,2.5,2390.0,34.0,http://www.zillow.com/homedetails/560-Island-Pl-Redwood-City-CA-94065/15617779_zpid/,94065
217 Hartstene Dr,Redwood City,House For Rent,4800,3.0,2.5,1815.0,35.0,http://www.zillow.com/homedetails/217-Hartstene-Dr-Redwood-City-CA-94065/118175274_zpid/,94065
3068 Kyne St W # 423824,San Mateo,Apartment For Rent,5225,3.0,2.0,1278.0,NA,http://www.zillow.com/homedetails/3068-Kyne-St-W-423824-San-Mateo-CA-94403/2096129773_zpid/,94403
"100 Grand Ln, Foster City, CA",Foster City,Apartment Complex,5424.0,3.0,2.0,1388.0,0,http://www.zillow.com/b/one-hundred-grand-foster-city-ca-65fsHq/,94065
"3204 Casa De Campo, San Mateo, CA",San Mateo,Apartment Complex,4054.0,3.0,2.0,950.0,0,http://www.zillow.com/b/bay-terrace-apartments-san-mateo-ca-5Xk5dF/,94065
1 Plaza View Ln # 243,Foster City,Apartment For Rent,5344,3.0,2.0,1511.0,0,http://www.zillow.com/homedetails/1-Plaza-View-Ln-243-Foster-City-CA-94404/2094752611_zpid/,94404
1997 Vista Del Mar,San Mateo,Condo For Rent,4150,3.0,2.5,1350.0,1,http://www.zillow.com/homedetails/1997-Vista-Del-Mar-San-Mateo-CA-94404/2094744364_zpid/,94404
"649 Old County Rd, Belmont, CA",Belmont,Apartment Complex,3753.0,3.0,2.0,1150.0,NA,http://www.zillow.com/b/madison-belmont-belmont-ca-5XjPzL/,94065
Howard Ave,San Carlos,House For Rent,6500,3.0,2.0,1700.0,2,http://www.zillow.com/homedetails/Howard-Ave-San-Carlos-CA-94070/2095449469_zpid/,94070
2750 Melendy Dr APT 10,San Carlos,Apartment For Rent,3500,3.0,2.0,1200.0,5,http://www.zillow.com/homedetails/2750-Melendy-Dr-APT-10-San-Carlos-CA-94070/2094783389_zpid/,94070
233 Ruby Ave,San Carlos,House For Rent,4500,3.0,2.0,1310.0,7,http://www.zillow.com/homedetails/233-Ruby-Ave-San-Carlos-CA-94070/15560748_zpid/,94070
"1 Blu Harbor Blvd, Redwood City, CA",Redwood City,Apartment Complex,5350.0,3.0,2.0,1428.0,0,http://www.zillow.com/b/blu-harbor-redwood-city-ca-B6rGRV/,94063
675 Bradford St # 3A20,Redwood City,Apartment For Rent,5599,3.0,2.0,1481.0,0,http://www.zillow.com/homedetails/675-Bradford-St-3A20-Redwood-City-CA-94063/2097495171_zpid/,94063
