address,city,type,price,bedrooms,bathrooms,sqft,days_on_zillow,url,zip
927 Corriente Point Dr,Redwood City,House For Rent,7500,4.0,3.0,2855.0,8.0,http://www.zillow.com/homes/for_sale//homedetails/927-Corriente-Point-Dr-Redwood-City-CA-94065/15618227_zpid/,94065
560 Island Pl,Redwood City,House For Rent,6800,3.0,2.5,2390.0,33.0,http://www.zillow.com/homes/for_sale//homedetails/560-Island-Pl-Redwood-City-CA-94065/15617779_zpid/,94065
217 Hartstene Dr,Redwood City,House For Rent,4800,3.0,2.5,1815.0,34.0,http://www.zillow.com/homes/for_sale//homedetails/217-Hartstene-Dr-Redwood-City-CA-94065/118175274_zpid/,94065
3068 Kyne St W # 423824,San Mateo,Apartment For Rent,5225+,3.0,2.0,1278.0,Updated today,http://www.zillow.com/homes/for_sale//homedetails/3068-Kyne-St-W-423824-San-Mateo-CA-94403/2096129773_zpid/,94403
"100 Grand Ln, Foster City, CA",NA,One Hundred Grand,35424+,NA,NA,NA,Updated today,NA,NA
"3204 Casa De Campo, San Mateo, CA",NA,Bay Terrace Apartments,34054+,NA,NA,NA,Updated today,NA,NA
908 Holly Rd,Belmont,House For Rent,5500,4.0,2.0,1670.0,1,http://www.zillow.com/homes/for_sale//homedetails/908-Holly-Rd-Belmont-CA-94002/15550032_zpid/,94002
1997 Vista Del Mar,San Mateo,Condo For Rent,4150,3.0,2.5,1350.0,1,http://www.zillow.com/homes/for_sale//homedetails/1997-Vista-Del-Mar-San-Mateo-CA-94404/2094744364_zpid/,94404
"1 Plaza View Ln, Foster City, CA",NA,The Plaza,34875+,NA,NA,NA,NA,NA,NA
"649 Old County Rd, Belmont, CA",NA,Madison Belmont,33755+,NA,NA,NA,NA,NA,NA
398 Port Royal Ave,Foster City,House For Rent,5700,4.0,2.5,2620.0,2,http://www.zillow.com/homes/for_sale//homedetails/398-Port-Royal-Ave-Foster-City-CA-94404/15614180_zpid/,94404
Howard Ave,San Carlos,House For Rent,6500,3.0,2.0,1700.0,1,http://www.zillow.com/homes/for_sale//homedetails/Howard-Ave-San-Carlos-CA-94070/2095449469_zpid/,94070
2750 Melendy Dr APT 10,San Carlos,Apartment For Rent,3500,3.0,2.0,1200.0,4,http://www.zillow.com/homes/for_sale//homedetails/2750-Melendy-Dr-APT-10-San-Carlos-CA-94070/2094783389_zpid/,94070
233 Ruby Ave,San Carlos,House For Rent,4500,3.0,2.0,1310.0,6,http://www.zillow.com/homes/for_sale//homedetails/233-Ruby-Ave-San-Carlos-CA-94070/15560748_zpid/,94070
212 Exeter Ave,San Carlos,House For Rent,9000,4.0,2.5,3084.0,12,http://www.zillow.com/homes/for_sale//homedetails/212-Exeter-Ave-San-Carlos-CA-94070/15555762_zpid/,94070
2501 Melendy Dr,San Carlos,House For Rent,5000,4.0,2.5,1850.0,28,http://www.zillow.com/homes/for_sale//homedetails/2501-Melendy-Dr-San-Carlos-CA-94070/15558486_zpid/,94070
27 Eaton Villa Pl,San Carlos,House For Rent,5800,4.0,2.5,2150.0,34,http://www.zillow.com/homes/for_sale//homedetails/27-Eaton-Villa-Pl-San-Carlos-CA-94070/15560055_zpid/,94070
"1 Blu Harbor Blvd, Redwood City, CA",NA,Blu Harbor,35350+,NA,NA,NA,NA,NA,NA
675 Bradford St # 3A20,Redwood City,Apartment For Rent,5599+,3.0,2.0,1481.0,NA,http://www.zillow.com/homes/for_sale//homedetails/675-Bradford-St-3A20-Redwood-City-CA-94063/2097495171_zpid/,94063
734 Brewster Ave,Redwood City,House For Rent,4100,3.0,2.0,1260.0,6,http://www.zillow.com/homes/for_sale//homedetails/734-Brewster-Ave-Redwood-City-CA-94063/15564514_zpid/,94063
209 Moresby Ln,Redwood City,Townhouse For Rent,4795,3.0,2.5,1405.0,10,http://www.zillow.com/homes/for_sale//homedetails/209-Moresby-Ln-Redwood-City-CA-94063/15639073_zpid/,94063
2 Friendly Ct,Redwood City,House For Rent,4000,3.0,2.0,NA,15,http://www.zillow.com/homes/for_sale//homedetails/2-Friendly-Ct-Redwood-City-CA-94063/15568297_zpid/,94063
654 Sea Anchor Dr UNIT 2308,Redwood City,Townhouse For Rent,6500,4.0,3.0,2100.0,26,http://www.zillow.com/homes/for_sale//homedetails/654-Sea-Anchor-Dr-UNIT-2308-Redwood-City-CA-94063/2095017825_zpid/,94063
639 Turnbuckle Dr UNIT 1508,Redwood City,Townhouse For Rent,5195,4.0,3.5,2200.0,38,http://www.zillow.com/homes/for_sale//homedetails/639-Turnbuckle-Dr-UNIT-1508-Redwood-City-CA-94063/125125422_zpid/,94063
2031 Whipple Ave,Redwood City,House For Rent,6988,3.0,2.5,2360.0,2,http://www.zillow.com/homes/for_sale//homedetails/2031-Whipple-Ave-Redwood-City-CA-94062/15563861_zpid/,94062
56 Melrose Pl,Redwood City,House For Rent,6350,4.0,2.0,2100.0,4,http://www.zillow.com/homes/for_sale//homedetails/56-Melrose-Pl-Redwood-City-CA-94062/15562982_zpid/,94062
843 Piedmont Way,Redwood City,House For Rent,6250,4.0,3.0,2300.0,4,http://www.zillow.com/homes/for_sale//homedetails/843-Piedmont-Way-Redwood-City-CA-94062/15571962_zpid/,94062
18 Botany Ct,Emerald Hills,House For Rent,7000,5.0,4.0,4190.0,6,http://www.zillow.com/homes/for_sale//homedetails/18-Botany-Ct-Emerald-Hills-CA-94062/15572083_zpid/,94062
